# Outliers,Original Index,Temperature (K),Electrical Resistivity (Ohm m),Seebeck Coefficient (V/K),Thermal Conductivity (W/(m K)),Figure of Merit,Thermopower (V/K),Thermal Conductivity x Figure of Merit (W/m K),Power Factor (W/(K^2 m)),Formula,Series,Series Index,Family,Electrical Conductivity (S/m),Preparative Route,Final Form,Authors,DOI,Comments,Cell Volume (A^3),Formula Units per Cell,Atoms per Formula Unit,Total Atoms Per Unit Cell,Average Atomic Volume,Author of Unit Cell,Unit Cell DOI,ICSD ID,Electronic over Total Thermal Conductivity,Space Group,Number of Symmetry Elements
outliers,orig_index,T,rho,seebeck,kappa,zT,seebeck_abs,kappa_zT,power_factor,formula,series,x,family,sigma,preparative_route,final_form,authors,doi,comments,cell_volume,formula_units_per_cell,atoms_per_formula_unit,total_atoms_per_unit_cell,average_atomic_volume,author_of_unit_cell,unit_cell_doi,icsd_id,kel/ktot,space_group,symmetry_elements
,134,1000,0.0000558501,-0.0000682042,1.680820436,0.0495538,0.0000682042,0.08329103972,0.00008329103972,Ca0.7Tb0.3MnO3,Ca1-xTbxMnO3,0.3,CaMnO3,17905.0709,Solid state reaction,polycrystalline,Kobayashi1991JSSC,http://dx.doi.org/10.1016/0022-4596(91)90248-G,,213.15,4,5,20,10.6575,Kobayashi,http://dx.doi.org/10.1016/0022-4596(91)90248-G,69826,0.2599229046,62,8
,135,300,0.0000669346,-0.0000720144,1.637290898,0.01419657,0.0000720144,0.02324391484,0.00007747971613,Ca0.9Ho0.1MnO3,Ca1-xHoxMnO3,0.1,CaMnO3,14939.95632,Solid state reaction,polycrystalline,Kobayashi1991JSSC,http://dx.doi.org/10.1016/0022-4596(91)90248-G,,209.04,4,5,20,10.452,Sousa,http://dx.doi.org/10.1016/j.matchemphys.2007.11.032,160306,0.06679355537,62,8
,136,400,0.0000739839,-0.0000817903,1.545616006,0.02340048,0.0000817903,0.03616815645,0.00009042039111,Ca0.9Ho0.1MnO3,Ca1-xHoxMnO3,0.1,CaMnO3,13516.45426,Solid state reaction,polycrystalline,Kobayashi1991JSSC,http://dx.doi.org/10.1016/0022-4596(91)90248-G,,209.04,4,5,20,10.452,Sousa,http://dx.doi.org/10.1016/j.matchemphys.2007.11.032,160306,0.08535146698,62,8
,137,700,0.0000949715,-0.000101469,1.518351106,0.04998035,0.000101469,0.07588771971,0.0001084110282,Ca0.9Ho0.1MnO3,Ca1-xHoxMnO3,0.1,CaMnO3,10529.47463,Solid state reaction,polycrystalline,Kobayashi1991JSSC,http://dx.doi.org/10.1016/0022-4596(91)90248-G,,209.04,4,5,20,10.452,Sousa,http://dx.doi.org/10.1016/j.matchemphys.2007.11.032,160306,0.1184465345,62,8
,138,1000,0.000115796,-0.000114579,1.470944215,0.0770762,0.000114579,0.1133747905,0.0001133747905,Ca0.9Ho0.1MnO3,Ca1-xHoxMnO3,0.1,CaMnO3,8635.876887,Solid state reaction,polycrystalline,Kobayashi1991JSSC,http://dx.doi.org/10.1016/0022-4596(91)90248-G,,209.04,4,5,20,10.452,Sousa,http://dx.doi.org/10.1016/j.matchemphys.2007.11.032,160306,0.1432517929,62,8
,139,300,0.0000511856,-0.0000436909,2.143851851,0.00521868,0.0000436909,0.01118807678,0.00003729358927,Ca0.7Ho0.3MnO3,Ca1-xHoxMnO3,0.3,CaMnO3,19536.74471,Solid state reaction,polycrystalline,Kobayashi1991JSSC,http://dx.doi.org/10.1016/0022-4596(91)90248-G,,212.3,4,5,20,10.615,Sousa,http://dx.doi.org/10.1016/j.matchemphys.2007.11.032,160308,0.06670655492,11,4
,140,400,0.000043952,-0.0000450509,1.524264065,0.01211792,0.0000450509,0.01847091,0.000046177275,Ca0.7Ho0.3MnO3,Ca1-xHoxMnO3,0.3,CaMnO3,22752.09319,Solid state reaction,polycrystalline,Kobayashi1991JSSC,http://dx.doi.org/10.1016/0022-4596(91)90248-G,,212.3,4,5,20,10.615,Sousa,http://dx.doi.org/10.1016/j.matchemphys.2007.11.032,160308,0.1456837005,11,4
,141,700,0.0000376682,-0.0000509774,1.416678012,0.03408846,0.0000509774,0.04829237175,0.0000689891025,Ca0.7Ho0.3MnO3,Ca1-xHoxMnO3,0.3,CaMnO3,26547.59187,Solid state reaction,polycrystalline,Kobayashi1991JSSC,http://dx.doi.org/10.1016/0022-4596(91)90248-G,,212.3,4,5,20,10.615,Sousa,http://dx.doi.org/10.1016/j.matchemphys.2007.11.032,160308,0.3200676973,11,4
,142,1000,0.0000422589,-0.0000647034,1.599402623,0.061941,0.0000647034,0.09906859789,0.00009906859789,Ca0.7Ho0.3MnO3,Ca1-xHoxMnO3,0.3,CaMnO3,23663.65428,Solid state reaction,polycrystalline,Kobayashi1991JSSC,http://dx.doi.org/10.1016/0022-4596(91)90248-G,,212.3,4,5,20,10.615,Sousa,http://dx.doi.org/10.1016/j.matchemphys.2007.11.032,160308,0.361005513,11,4
,143,300,0.0000437499,-0.0000705317,1.488878233,0.02291151,0.0000705317,0.03411244852,0.0001137081617,Ca0.9Y0.1MnO3,Ca1-xYxMnO3,0.1,CaMnO3,22857.1951,Solid state reaction,polycrystalline,Kobayashi1991JSSC,http://dx.doi.org/10.1016/0022-4596(91)90248-G,,212.3,4,5,20,10.615,Sousa,http://dx.doi.org/10.1016/j.matchemphys.2007.11.032,160308,0.1123763277,11,4
,144,400,0.0000477637,-0.0000817144,1.482392228,0.03772212,0.0000817144,0.05591897753,0.0001397974438,Ca0.9Y0.1MnO3,Ca1-xYxMnO3,0.1,CaMnO3,20936.40149,Solid state reaction,polycrystalline,Kobayashi1991JSSC,http://dx.doi.org/10.1016/0022-4596(91)90248-G,,212.3,4,5,20,10.615,Sousa,http://dx.doi.org/10.1016/j.matchemphys.2007.11.032,160308,0.1378442727,11,4
,145,700,0.0000591553,-0.000112784,1.600767692,0.094031,0.000112784,0.1505217869,0.0002150311241,Ca0.9Y0.1MnO3,Ca1-xYxMnO3,0.1,CaMnO3,16904.65605,Solid state reaction,polycrystalline,Kobayashi1991JSSC,http://dx.doi.org/10.1016/0022-4596(91)90248-G,,212.3,4,5,20,10.615,Sousa,http://dx.doi.org/10.1016/j.matchemphys.2007.11.032,160308,0.1803706601,11,4
,146,1000,0.0000710372,-0.00013559,1.629157717,0.158857,0.00013559,0.2588031074,0.0002588031074,Ca0.9Y0.1MnO3,Ca1-xYxMnO3,0.1,CaMnO3,14077.13142,Solid state reaction,polycrystalline,Kobayashi1991JSSC,http://dx.doi.org/10.1016/0022-4596(91)90248-G,,212.3,4,5,20,10.615,Sousa,http://dx.doi.org/10.1016/j.matchemphys.2007.11.032,160308,0.2108341035,11,4
,147,300,0.0000762653,-0.0000416059,1.793253904,0.00379719,0.0000416059,0.006809325794,0.00002269775265,Ca0.7Y0.3MnO3,Ca1-xYxMnO3,0.3,CaMnO3,13112.12308,Solid state reaction,polycrystalline,Kobayashi1991JSSC,http://dx.doi.org/10.1016/0022-4596(91)90248-G,,219.83,4,5,20,10.9915,Dlouha,http://dx.doi.org/10.1007/s003390101141,97601,0.05352322985,62,8
,148,400,0.0000649209,-0.0000416315,1.46749541,0.00727684,0.0000416315,0.0106787293,0.00002669682325,Ca0.7Y0.3MnO3,Ca1-xYxMnO3,0.3,CaMnO3,15403.36009,Solid state reaction,polycrystalline,Kobayashi1991JSSC,http://dx.doi.org/10.1016/0022-4596(91)90248-G,,219.83,4,5,20,10.9915,Dlouha,http://dx.doi.org/10.1007/s003390101141,97601,0.1024444734,62,8
,149,700,0.0000627506,-0.000052453,1.514920146,0.02025961,0.000052453,0.03069169134,0.00004384527334,Ca0.7Y0.3MnO3,Ca1-xYxMnO3,0.3,CaMnO3,15936.1026,Solid state reaction,polycrystalline,Kobayashi1991JSSC,http://dx.doi.org/10.1016/0022-4596(91)90248-G,,219.83,4,5,20,10.9915,Dlouha,http://dx.doi.org/10.1007/s003390101141,97601,0.179671934,62,8
,150,1000,0.0000707093,-0.0000607951,1.536920596,0.0340102,0.0000607951,0.05227097686,0.00005227097686,Ca0.7Y0.3MnO3,Ca1-xYxMnO3,0.3,CaMnO3,14142.41125,Solid state reaction,polycrystalline,Kobayashi1991JSSC,http://dx.doi.org/10.1016/0022-4596(91)90248-G,,219.83,4,5,20,10.9915,Dlouha,http://dx.doi.org/10.1007/s003390101141,97601,0.224523528,62,8
,151,300,0.00000433737,-0.000026,3.78035,0.01236828457,0.000026,0.04675644457,0.0001558548152,BaPbO3,Ba1-xSrxPbO3,0,BaPbO3,230554.4604,Solid state reaction (under oxygen),polycrystalline,Yasukawa1997JMSL,http://dx.doi.org/10.1023/A:1018515223271,Extrapolated from 320 K,311.43,4,5,20,15.5715,Moussa,http://dx.doi.org/10.1016/S0038-1098(01)00265-4,94312,0.4464292064,74,16
,152,400,0.00000509409,-0.0000319806,4.15607,0.01932340867,0.0000319806,0.08030943908,0.0002007735977,BaPbO3,Ba1-xSrxPbO3,0,BaPbO3,196305.9153,Solid state reaction (under oxygen),polycrystalline,Yasukawa1997JMSL,http://dx.doi.org/10.1023/A:1018515223271,,311.43,4,5,20,15.5715,Moussa,http://dx.doi.org/10.1016/S0038-1098(01)00265-4,94312,0.4609993896,74,16
,153,700,0.00000526685,-0.0000336152,5.11561,0.02935763466,0.0000336152,0.1501822094,0.0002145460135,BaPbO3,Ba1-xSrxPbO3,0,BaPbO3,189866.8084,Solid state reaction (under oxygen),polycrystalline,Yasukawa1997JMSL,http://dx.doi.org/10.1023/A:1018515223271,,311.43,4,5,20,15.5715,Moussa,http://dx.doi.org/10.1016/S0038-1098(01)00265-4,94312,0.6339273494,74,16
,154,1000,0.00000858552,-0.0000301729,,,0.0000301729,0.1060394588,0.0001060394588,BaPbO3,Ba1-xSrxPbO3,0,BaPbO3,116475.1815,Solid state reaction (under oxygen),polycrystalline,Yasukawa1997JMSL,http://dx.doi.org/10.1023/A:1018515223271,,311.43,4,5,20,15.5715,Moussa,http://dx.doi.org/10.1016/S0038-1098(01)00265-4,94312,,74,16
,155,300,0.00000462332,-0.0000244615,2.74566,0.01414121462,0.0000244615,0.03882696735,0.0001294232245,Ba0.8Sr0.2PbO3,Ba1-xSrxPbO3,0.2,BaPbO3,216294.7838,Solid state reaction (under oxygen),polycrystalline,Yasukawa1997JMSL,http://dx.doi.org/10.1023/A:1018515223271,Extrapolated from 320 K,311.43,4,5,20,15.5715,Moussa,http://dx.doi.org/10.1016/S0038-1098(01)00265-4,94312,0.5766474428,74,16
,156,400,0.00000476044,-0.0000302883,3.30636,0.02331377248,0.0000302883,0.07708372477,0.0001927093119,Ba0.8Sr0.2PbO3,Ba1-xSrxPbO3,0.2,BaPbO3,210064.6159,Solid state reaction (under oxygen),polycrystalline,Yasukawa1997JMSL,http://dx.doi.org/10.1023/A:1018515223271,,311.43,4,5,20,15.5715,Moussa,http://dx.doi.org/10.1016/S0038-1098(01)00265-4,94312,0.6200869388,74,16
,157,700,0.00000550518,-0.000041769,4.0289,0.05506151849,0.000041769,0.2218373519,0.0003169105027,Ba0.8Sr0.2PbO3,Ba1-xSrxPbO3,0.2,BaPbO3,181647.1033,Solid state reaction (under oxygen),polycrystalline,Yasukawa1997JMSL,http://dx.doi.org/10.1023/A:1018515223271,,311.43,4,5,20,15.5715,Moussa,http://dx.doi.org/10.1016/S0038-1098(01)00265-4,94312,0.7700693797,74,16
,158,1000,0.00000601159,-0.0000337114,,,0.0000337114,0.1890445772,0.0001890445772,Ba0.8Sr0.2PbO3,Ba1-xSrxPbO3,0.2,BaPbO3,166345.3429,Solid state reaction (under oxygen),polycrystalline,Yasukawa1997JMSL,http://dx.doi.org/10.1023/A:1018515223271,,311.43,4,5,20,15.5715,Moussa,http://dx.doi.org/10.1016/S0038-1098(01)00265-4,94312,,74,16
,159,300,0.0000130601,-0.000042,2.30636,0.01756896736,0.000042,0.04052036355,0.0001350678785,Ba0.6Sr0.4PbO3,Ba1-xSrxPbO3,0.4,BaPbO3,76569.09212,Solid state reaction (under oxygen),polycrystalline,Yasukawa1997JMSL,http://dx.doi.org/10.1023/A:1018515223271,Extrapolated from 320 K,301.96,4,5,20,15.098,Ksepko,http://dx.doi.org/10.1080/01411590410001667635,151609,0.2430174623,62,8
,160,400,0.0000127204,-0.0000513654,2.36416,0.03509325943,0.0000513654,0.08296608022,0.0002074152006,Ba0.6Sr0.4PbO3,Ba1-xSrxPbO3,0.4,BaPbO3,78613.88007,Solid state reaction (under oxygen),polycrystalline,Yasukawa1997JMSL,http://dx.doi.org/10.1023/A:1018515223271,,301.96,4,5,20,15.098,Ksepko,http://dx.doi.org/10.1080/01411590410001667635,151609,0.3245429537,62,8
,161,700,0.0000117492,-0.0000657691,2.44509,0.1053995342,0.0000657691,0.2577113472,0.0003681590674,Ba0.6Sr0.4PbO3,Ba1-xSrxPbO3,0.4,BaPbO3,85112.17785,Solid state reaction (under oxygen),polycrystalline,Yasukawa1997JMSL,http://dx.doi.org/10.1023/A:1018515223271,,301.96,4,5,20,15.098,Ksepko,http://dx.doi.org/10.1080/01411590410001667635,151609,0.5945449851,62,8
,162,1000,0.0000068696,-0.0000397112,,,0.0000397112,0.2295591309,0.0002295591309,Ba0.6Sr0.4PbO3,Ba1-xSrxPbO3,0.4,BaPbO3,145568.8832,Solid state reaction (under oxygen),polycrystalline,Yasukawa1997JMSL,http://dx.doi.org/10.1023/A:1018515223271,,79.51,1,5,5,15.902,Ksepko,http://dx.doi.org/10.1080/01411590410001667635,151610,,221,48
,163,300,0.0000412774,-0.0000827692,2.2948,0.02169709521,0.0000827692,0.04979049409,0.0001659683136,Ba0.4Sr0.6PbO3,Ba1-xSrxPbO3,0.6,BaPbO3,24226.33208,Solid state reaction (under oxygen),polycrystalline,Yasukawa1997JMSL,http://dx.doi.org/10.1023/A:1018515223271,Extrapolated from 320 K,301.96,4,5,20,15.098,Ksepko,http://dx.doi.org/10.1080/01411590410001667635,151609,0.07727764984,62,8
,164,400,0.0000395079,-0.0000964421,2.13295,0.0441497946,0.0000964421,0.09416930439,0.000235423261,Ba0.4Sr0.6PbO3,Ba1-xSrxPbO3,0.6,BaPbO3,25311.39342,Solid state reaction (under oxygen),polycrystalline,Yasukawa1997JMSL,http://dx.doi.org/10.1023/A:1018515223271,,301.96,4,5,20,15.098,Ksepko,http://dx.doi.org/10.1080/01411590410001667635,151609,0.1158204364,62,8
,165,700,0.0000351048,-0.000117923,1.98266,0.1398557513,0.000117923,0.2772864039,0.0003961234341,Ba0.4Sr0.6PbO3,Ba1-xSrxPbO3,0.6,BaPbO3,28486.13295,Solid state reaction (under oxygen),polycrystalline,Yasukawa1997JMSL,http://dx.doi.org/10.1023/A:1018515223271,,301.96,4,5,20,15.098,Ksepko,http://dx.doi.org/10.1080/01411590410001667635,151609,0.2453991863,62,8
,166,1000,0.0000093481,-0.0000524806,,,0.0000524806,0.2946281465,0.0002946281465,Ba0.4Sr0.6PbO3,Ba1-xSrxPbO3,0.6,BaPbO3,106973.6096,Solid state reaction (under oxygen),polycrystalline,Yasukawa1997JMSL,http://dx.doi.org/10.1023/A:1018515223271,,79.51,1,5,5,15.902,Ksepko,http://dx.doi.org/10.1080/01411590410001667635,151610,,221,48
,167,400,0.0000284295,-0.0000198831,,,0.0000198831,0.005562358334,0.00001390589583,LaNiO3,La1-xBix-NiO3,0,LaNiO3,35174.73047,"Evaporate nitrates (1173 K, air)",polycrystalline,Funahashi2003MP,http://dx.doi.org/10.1557/PROC-793-S3.3,impure. Even LaNiO3 is impure. LaNiO3+NiO,339.43,6,5,30,11.31433333,Falcon,http://dx.doi.org/10.1006/jssc.1997.7477,84933,,167,12
,168,700,0.0000460122,-0.0000257623,,,0.0000257623,0.01009704537,0.00001442435053,LaNiO3,La1-xBix-NiO3,0,LaNiO3,21733.36637,"Evaporate nitrates (1173 K, air)",polycrystalline,Funahashi2003MP,http://dx.doi.org/10.1557/PROC-793-S3.3,impure. Even LaNiO3 is impure. LaNiO3+NiO,339.43,6,5,30,11.31433333,Falcon,http://dx.doi.org/10.1006/jssc.1997.7477,84933,,167,12
,169,1000,0.0000621929,-0.0000270295,,,0.0000270295,0.01174722308,0.00001174722308,LaNiO3,La1-xBix-NiO3,0,LaNiO3,16079.0058,"Evaporate nitrates (1173 K, air)",polycrystalline,Funahashi2003MP,http://dx.doi.org/10.1557/PROC-793-S3.3,impure. Even LaNiO3 is impure. LaNiO3+NiO,339.43,6,5,30,11.31433333,Falcon,http://dx.doi.org/10.1006/jssc.1997.7477,84933,,167,12
,170,400,0.000026727,-0.0000209474,,,0.0000209474,0.006567045561,0.0000164176139,La0.9Bi0.1NiO3,La1-xBix-NiO3,0.1,LaNiO3,37415.34778,"Evaporate nitrates (1173 K, air)",polycrystalline,Funahashi2003MP,http://dx.doi.org/10.1557/PROC-793-S3.3,impure. Even LaNiO3 is impure. LaNiO3+NiO,339.43,6,5,30,11.31433333,Falcon,http://dx.doi.org/10.1006/jssc.1997.7477,84933,,167,12
,171,700,0.000041267,-0.0000284586,,,0.0000284586,0.01373795865,0.00001962565522,La0.9Bi0.1NiO3,La1-xBix-NiO3,0.1,LaNiO3,24232.43754,"Evaporate nitrates (1173 K, air)",polycrystalline,Funahashi2003MP,http://dx.doi.org/10.1557/PROC-793-S3.3,impure. Even LaNiO3 is impure. LaNiO3+NiO,339.43,6,5,30,11.31433333,Falcon,http://dx.doi.org/10.1006/jssc.1997.7477,84933,,167,12
,172,1000,0.0000608691,-0.0000307901,,,0.0000307901,0.01557490185,0.00001557490185,La0.9Bi0.1NiO3,La1-xBix-NiO3,0.1,LaNiO3,16428.69699,"Evaporate nitrates (1173 K, air)",polycrystalline,Funahashi2003MP,http://dx.doi.org/10.1557/PROC-793-S3.3,impure. Even LaNiO3 is impure. LaNiO3+NiO,339.43,6,5,30,11.31433333,Falcon,http://dx.doi.org/10.1006/jssc.1997.7477,84933,,167,12
,173,400,0.0000603672,-0.000139461,,,0.000139461,0.1288737627,0.0003221844068,Ca0.96Sm0.04MnO3,Ca1-xSmxMnO3,0.04,CaMnO3,16565.28711,Co-precipitation,polycrystalline,Sanmathi2007ICT,http://dx.doi.org/10.1109/ICT.2007.4569450,,210.39,4,5,20,10.5195,Yang,http://dx.doi.org/10.1021/jp809049s,164748,,62,8
,174,700,0.0000825459,-0.000169853,,,0.000169853,0.2446521163,0.0003495030233,Ca0.96Sm0.04MnO3,Ca1-xSmxMnO3,0.04,CaMnO3,12114.47207,Co-precipitation,polycrystalline,Sanmathi2007ICT,http://dx.doi.org/10.1109/ICT.2007.4569450,,210.39,4,5,20,10.5195,Yang,http://dx.doi.org/10.1021/jp809049s,164748,,62,8
,175,1000,0.000110453,-0.0001875,,,0.0001875,0.3182914905,0.0003182914905,Ca0.96Sm0.04MnO3,Ca1-xSmxMnO3,0.04,CaMnO3,9053.624619,Co-precipitation,polycrystalline,Sanmathi2007ICT,http://dx.doi.org/10.1109/ICT.2007.4569450,,210.39,4,5,20,10.5195,Yang,http://dx.doi.org/10.1021/jp809049s,164748,,62,8
,176,300,0.0000055,0.000162,1.468195804,0.975,0.000162,1.431490909,0.004771636364,Bi2Te3,Bi2Te3 (p-type),0,Bi/Sb/Pb-Te/Se,181818.1818,melted,single crystal,Scherrer1995,http://dx.doi.org/10.1201/9781420049718.ch19,"Rowe1995, Chapter 19.3",509.21,3,5,15,33.94733333,Feutelais,http://dx.doi.org/10.1016/0025-5408(93)90055-I,74348,0.9064929127,166,12
,177,300,0.0000045,-0.000174,4.016716418,0.5025,0.000174,2.0184,0.006728,Bi2Te3,Bi2Te3 (n-type),0,Bi/Sb/Pb-Te/Se,222222.2222,melted,single crystal,Scherrer1995,http://dx.doi.org/10.1201/9781420049718.ch19,"Rowe1995, Chapter 19.3",509.21,3,5,15,33.94733333,Feutelais,http://dx.doi.org/10.1016/0025-5408(93)90055-I,74348,0.404974237,166,12
,178,300,0.0000019,0.000038,3.377777778,0.0675,0.000038,0.228,0.00076,Sb2Te3,Sb2Te3 (Sb-side),0,Bi/Sb/Pb-Te/Se,526315.7895,melted,single crystal,Scherrer1995,http://dx.doi.org/10.1201/9781420049718.ch19,"Rowe1995, Chapter 19.3",479.59,3,5,15,31.97266667,Anderson,Http://dx.doi.org/10.1107/S0567740874004729 ,2084,1.140581717,166,12
,179,300,0.00000122,0.000063,5.205245902,0.1875,0.000063,0.9759836066,0.003253278689,Sb2Te3,Sb2Te3 (Te-side),0,Bi/Sb/Pb-Te/Se,819672.1311,melted,single crystal,Scherrer1995,http://dx.doi.org/10.1201/9781420049718.ch19,"Rowe1995, Chapter 19.3",479.59,3,5,15,31.97266667,Anderson,Http://dx.doi.org/10.1107/S0567740874004729 ,2084,1.152683296,166,12
,180,300,0.00000694238,0.0000786699,1.49875,0.1784435576,0.0000786699,0.267442282,0.0008914742734,Ag0.15Sb0.15Te1.15Ge0.85,(AgSbTe2)1-x(GeTe)x (TAGS),0.85,Bi/Sb/Pb-Te/Se,144042.821,melted,single crystal,Skrabek1995,http://dx.doi.org/10.1201/9781420049718.ch22,"E. A. Skrabek and D. S. Trimmer, Chapter 22.3",479.59,3,5,15,31.97266667,Anderson,Http://dx.doi.org/10.1107/S0567740874004729 ,2084,0.7035152294,166,12
,181,400,0.00000849855,0.000122163,1.53108,0.4587717345,0.000122163,0.7024162272,0.001756040568,Ag0.15Sb0.15Te1.15Ge0.85,(AgSbTe2)1-x(GeTe)x (TAGS),0.85,Bi/Sb/Pb-Te/Se,117667.1315,melted,single crystal,Skrabek1995,http://dx.doi.org/10.1201/9781420049718.ch22,"E. A. Skrabek and D. S. Trimmer, Chapter 22.3",479.59,3,5,15,31.97266667,Anderson,Http://dx.doi.org/10.1107/S0567740874004729 ,2084,0.7500791617,166,12
,182,700,0.0000121347,0.000199034,1.65073,1.384355066,0.000199034,2.285196437,0.003264566339,Ag0.15Sb0.15Te1.15Ge0.85,(AgSbTe2)1-x(GeTe)x (TAGS),0.85,Bi/Sb/Pb-Te/Se,82408.30016,melted,single crystal,Skrabek1995,http://dx.doi.org/10.1201/9781420049718.ch22,"E. A. Skrabek and D. S. Trimmer, Chapter 22.3",479.59,3,5,15,31.97266667,Anderson,Http://dx.doi.org/10.1107/S0567740874004729 ,2084,0.8526735243,166,12
,183,1000,0.0000127604,0.000165794,2.27167,0.948261434,0.000165794,2.154137052,0.002154137052,Ag0.15Sb0.15Te1.15Ge0.85,(AgSbTe2)1-x(GeTe)x (TAGS),0.85,Bi/Sb/Pb-Te/Se,78367.4493,melted,single crystal,Skrabek1995,http://dx.doi.org/10.1201/9781420049718.ch22,"Extrapolated from 870 K, E. A. Skrabek and D. S. Trimmer, Chapter 22.3",479.59,3,5,15,31.97266667,Anderson,Http://dx.doi.org/10.1107/S0567740874004729 ,2084,0.8417445152,166,12
,184,300,0.0000597571,-0.000279857,2.08661,0.1884355353,0.000279857,0.3931914724,0.001310638241,In0.05Co4Sb12,InxCo4Sb12,0.05,CoSb3,16734.41315,Solid state reaction,polycrystalline,He2006CM,http://dx.doi.org/10.1021/cm052055b,,739.6462088,2,16.05,32.1,23.04193797,He,http://dx.doi.org/10.1021/cm052055b,171715,0.05870570171,204,48
,185,400,0.0000677423,-0.000295566,1.73762,0.2968617171,0.000295566,0.5158328569,0.001289582142,In0.05Co4Sb12,InxCo4Sb12,0.05,CoSb3,14761.82533,Solid state reaction,polycrystalline,He2006CM,http://dx.doi.org/10.1021/cm052055b,,739.6462088,2,16.05,32.1,23.04193797,He,http://dx.doi.org/10.1021/cm052055b,171715,0.08291537575,204,48
,186,700,0.0000843493,-0.000334669,1.56386,0.5943601146,0.000334669,0.9294960088,0.001327851441,In0.05Co4Sb12,InxCo4Sb12,0.05,CoSb3,11855.46294,Solid state reaction,polycrystalline,He2006CM,http://dx.doi.org/10.1021/cm052055b,,739.6462088,2,16.05,32.1,23.04193797,He,http://dx.doi.org/10.1021/cm052055b,171715,0.1294817356,204,48
,187,300,0.0000292032,-0.000257303,2.18825,0.3108018352,0.000257303,0.6801121159,0.002267040386,In0.1Co4Sb12,InxCo4Sb12,0.1,CoSb3,34242.8227,Solid state reaction,polycrystalline,He2006CM,http://dx.doi.org/10.1021/cm052055b,,741.1439152,2,16.1,32.2,23.01689178,He,http://dx.doi.org/10.1021/cm052055b,171715,0.1145469952,204,48
,188,400,0.0000340249,-0.000276162,1.90897,0.4696689708,0.000276162,0.8965839752,0.002241459938,In0.1Co4Sb12,InxCo4Sb12,0.1,CoSb3,29390.24068,Solid state reaction,polycrystalline,He2006CM,http://dx.doi.org/10.1021/cm052055b,,741.1439152,2,16.1,32.2,23.01689178,He,http://dx.doi.org/10.1021/cm052055b,171715,0.1502636233,204,48
,189,700,0.0000433546,-0.000309846,1.74246,0.889593963,0.000309846,1.550081897,0.00221440271,In0.1Co4Sb12,InxCo4Sb12,0.1,CoSb3,23065.60319,Solid state reaction,polycrystalline,He2006CM,http://dx.doi.org/10.1021/cm052055b,Data at 600 K,741.1439152,2,16.1,32.2,23.01689178,He,http://dx.doi.org/10.1021/cm052055b,171715,0.2260944311,204,48
,190,300,0.0000187175,-0.000246592,2.29861,0.4240002251,0.000246592,0.9746111574,0.003248703858,In0.15Co4Sb12,InxCo4Sb12,0.15,CoSb3,53425.93829,Solid state reaction,polycrystalline,He2006CM,http://dx.doi.org/10.1021/cm052055b,,741.3896336,2,16.15,32.3,22.95323943,He,http://dx.doi.org/10.1021/cm052055b,171715,0.1701366775,204,48
,191,400,0.0000212784,-0.000266334,1.99464,0.6685127922,0.000266334,1.333442356,0.003333605889,In0.15Co4Sb12,InxCo4Sb12,0.15,CoSb3,46996.01474,Solid state reaction,polycrystalline,He2006CM,http://dx.doi.org/10.1021/cm052055b,,741.3896336,2,16.15,32.3,22.95323943,He,http://dx.doi.org/10.1021/cm052055b,171715,0.2299568362,204,48
,192,700,0.000026883,-0.000301531,1.86154,1.27177965,0.000301531,2.367468689,0.003382098127,In0.15Co4Sb12,InxCo4Sb12,0.15,CoSb3,37198.22936,Solid state reaction,polycrystalline,He2006CM,http://dx.doi.org/10.1021/cm052055b,Data at 600 K,741.3896336,2,16.15,32.3,22.95323943,He,http://dx.doi.org/10.1021/cm052055b,171715,0.3413011579,204,48
,193,300,0.0000149208,-0.000222148,2.47577,0.4007778073,0.000222148,0.9922336719,0.003307445573,In0.2Co4Sb12,InxCo4Sb12,0.2,CoSb3,67020.53509,Solid state reaction,polycrystalline,He2006CM,http://dx.doi.org/10.1021/cm052055b,,742.7420554,2,16.2,32.4,22.92413751,He,http://dx.doi.org/10.1021/cm052055b,171715,0.1981566611,204,48
,194,400,0.0000174818,-0.000248189,2.08031,0.6775024119,0.000248189,1.409415042,0.003523537606,In0.2Co4Sb12,InxCo4Sb12,0.2,CoSb3,57202.34758,Solid state reaction,polycrystalline,He2006CM,http://dx.doi.org/10.1021/cm052055b,,742.7420554,2,16.2,32.4,22.92413751,He,http://dx.doi.org/10.1021/cm052055b,171715,0.268371018,204,48
,195,700,0.0000214537,-0.000281747,1.9414,1.334133877,0.000281747,2.59008751,0.003700125014,In0.2Co4Sb12,InxCo4Sb12,0.2,CoSb3,46612.00632,Solid state reaction,polycrystalline,He2006CM,http://dx.doi.org/10.1021/cm052055b,Data at 600 K,742.7420554,2,16.2,32.4,22.92413751,He,http://dx.doi.org/10.1021/cm052055b,171715,0.4100819347,204,48
,196,300,0.0000113947,-0.000217108,2.55853,0.4850421707,0.000217108,1.240994945,0.004136649816,In0.25Co4Sb12,InxCo4Sb12,0.25,CoSb3,87760.09899,Solid state reaction,polycrystalline,He2006CM,http://dx.doi.org/10.1021/cm052055b,,742.8896917,2,16.25,32.5,22.85814436,He,http://dx.doi.org/10.1021/cm052055b,171715,0.2510832097,204,48
